,Date,ANGL,CJNK,GHYG,HYGH,HYHG,HYIH,HYLD,HYLS,HYND,HYS,HYZD,JNK,PGHY,PHB,RIGS,SHYG,SJB,SJNK,UJB,WBII
145,2017-04-01,26.619498999999998,24.331491,45.050872999999996,91.018997,61.146885,20.708134,35.91,43.936806,18.975451,92.13855,23.9,33.229549,22.173962,17.50057,23.291588,42.894905,23.598047,25.111803,60.22707,23.625189000000002
146,2017-05-01,26.780291,24.584021,45.719418,91.231003,61.584164,20.683367,36.139998999999996,44.373290999999995,18.966898,92.965683,24.01,33.609756,22.185728,17.611053,23.454773,43.224754,23.370287,25.322714,60.74594499999999,23.935499
147,2017-06-01,26.793118,24.631815,45.912083,91.33000200000001,61.578480000000006,20.693451,35.919998,44.386318,18.934219,92.836433,24.040001,33.592731,22.117785,17.682804,23.468048,43.274189,23.300968,25.288785999999998,61.53841,23.909354999999998
148,2017-07-01,27.181295000000002,24.72547,46.873783,91.764,62.320468999999996,20.876877,36.049999,44.988857,19.274404999999998,93.600441,24.120001000000002,33.965004,22.25433,17.789892000000002,23.661982000000002,43.586868,23.053402,25.469739999999998,62.406864,24.048687
149,2017-08-01,27.374912,24.940711999999998,47.02747,90.959999,61.580467000000006,20.652233,35.889998999999996,44.860889,18.819078,93.916061,23.9,33.991375,22.273106,17.79373,23.662138,43.615658,23.033596,25.487370000000002,63.25251,24.277901
150,2017-09-01,27.757092999999998,25.072976999999998,47.219398,91.790001,62.193909,20.947062,36.029999,44.893257,19.087284,94.17540699999999,24.129998999999998,34.195133,22.416775,17.917873,23.819471,43.849571000000005,22.89496,25.640923,62.881935,24.169062
151,2017-10-01,27.796801000000002,25.06469,47.176216,91.839996,62.485413,21.117893,36.16,44.952293,19.18796,94.45429200000001,24.190001000000002,34.272694,22.427713,17.947077,23.823687,43.939987,22.875153,25.71385,62.990021,24.184069
152,2017-11-01,27.76973,25.043678,46.857658,91.472,62.419216000000006,21.062862,36.18,44.835674,19.420784,94.38844300000001,24.190001000000002,34.140217,22.335848000000002,17.939306,23.800648000000002,43.728584000000005,22.944473000000002,25.663683,62.798714000000004,24.118093
153,2017-12-01,27.766367,25.100931,46.781902,90.849998,62.085983,21.154327,36.150002,45.063408,19.220203,94.292953,24.16,34.092525,22.309445999999998,17.972662,23.807442,43.795509,22.89496,25.614586,62.683914,24.249052
154,2018-01-01,28.234078999999998,25.146641,48.246082,92.074997,64.217529,21.575138,36.73,45.226208,19.808062,95.630127,24.23,34.380295000000004,22.442459,17.934664,23.646517000000003,44.273983,22.865251999999998,26.013603,63.078701,23.948044
